Filename:	data/raw/epr/demo_epr.par	 Date: 2026-07-10   Time: 20:00

X [G]	Intensity
3100.000000	-0.000601
3100.782014	-0.001537
3101.564027	0.007266
3102.346041	0.004754
3103.128055	-0.000411
3103.910068	0.002913
3104.692082	0.008421
3105.474096	0.004534
3106.256109	-0.011146
3107.038123	-0.009403
3107.820137	-0.015729
3108.602151	-0.016094
3109.384164	-0.009181
3110.166178	-0.008640
3110.948192	-0.015229
3111.730205	-0.012829
3112.512219	-0.013370
3113.294233	-0.005042
3114.076246	-0.002912
3114.858260	0.000210
3115.640274	-0.001656
3116.422287	-0.004123
3117.204301	0.006708
3117.986315	0.012359
3118.768328	0.002159
3119.550342	-0.002398
3120.332356	-0.018008
3121.114370	-0.007543
3121.896383	-0.009215
3122.678397	-0.004922
3123.460411	-0.004141
3124.242424	-0.012462
3125.024438	-0.014202
3125.806452	-0.007219
3126.588465	-0.000068
3127.370479	0.005827
3128.152493	0.000225
3128.934506	-0.004227
3129.716520	-0.001330
3130.498534	0.003838
3131.280547	0.009699
3132.062561	0.012659
3132.844575	-0.003802
3133.626588	-0.007795
3134.408602	-0.001111
3135.190616	-0.006133
3135.972630	-0.008110
3136.754643	-0.007326
3137.536657	-0.017733
3138.318671	-0.015360
3139.100684	-0.008123
3139.882698	0.002874
3140.664712	-0.004957
3141.446725	0.006858
3142.228739	-0.001049
3143.010753	-0.002067
3143.792766	0.001218
3144.574780	0.007256
3145.356794	0.001329
3146.138807	-0.010440
3146.920821	-0.007638
3147.702835	-0.005444
3148.484848	-0.015586
3149.266862	-0.004638
3150.048876	-0.009507
3150.830890	-0.006626
3151.612903	-0.013240
3152.394917	-0.008106
3153.176931	0.002673
3153.958944	0.006655
3154.740958	0.001619
3155.522972	0.007361
3156.304985	0.002519
3157.086999	0.008721
3157.869013	0.005481
3158.651026	0.004218
3159.433040	-0.003054
3160.215054	-0.004725
3160.997067	-0.006453
3161.779081	-0.005813
3162.561095	-0.008553
3163.343109	-0.017180
3164.125122	-0.021597
3164.907136	-0.012236
3165.689150	0.005323
3166.471163	0.000509
3167.253177	0.000599
3168.035191	-0.003105
3168.817204	-0.007721
3169.599218	0.005200
3170.381232	0.008805
3171.163245	0.000393
3171.945259	0.007029
3172.727273	-0.000098
3173.509286	-0.007257
3174.291300	-0.009496
3175.073314	-0.006685
3175.855327	-0.013145
3176.637341	-0.016870
3177.419355	-0.012823
3178.201369	-0.016377
3178.983382	-0.000968
3179.765396	-0.002820
3180.547410	0.003225
3181.329423	-0.010650
3182.111437	0.000961
3182.893451	0.003826
3183.675464	0.006395
3184.457478	0.004624
3185.239492	-0.005432
3186.021505	-0.003111
3186.803519	-0.004621
3187.585533	-0.000836
3188.367546	-0.013183
3189.149560	-0.012873
3189.931574	-0.017161
3190.713587	-0.017085
3191.495601	-0.005699
3192.277615	-0.003628
3193.059629	0.001468
3193.841642	-0.005461
3194.623656	-0.010577
3195.405670	0.012144
3196.187683	0.005691
3196.969697	0.009544
3197.751711	-0.000183
3198.533724	-0.009626
3199.315738	-0.002349
3200.097752	0.001915
3200.879765	-0.003276
3201.661779	-0.002534
3202.443793	-0.011974
3203.225806	-0.019508
3204.007820	-0.010068
3204.789834	-0.010398
3205.571848	0.002380
3206.353861	-0.005219
3207.135875	-0.007059
3207.917889	-0.000784
3208.699902	0.004237
3209.481916	0.002252
3210.263930	0.000807
3211.045943	-0.000390
3211.827957	0.000213
3212.609971	-0.002291
3213.391984	-0.002181
3214.173998	-0.000455
3214.956012	-0.003698
3215.738025	-0.013815
3216.520039	-0.022697
3217.302053	-0.011134
3218.084066	-0.011874
3218.866080	0.001388
3219.648094	-0.004106
3220.430108	-0.002221
3221.212121	0.003860
3221.994135	0.008653
3222.776149	0.014140
3223.558162	0.010539
3224.340176	0.001826
3225.122190	-0.007976
3225.904203	-0.010799
3226.686217	-0.004227
3227.468231	-0.003843
3228.250244	-0.007511
3229.032258	-0.018724
3229.814272	-0.019987
3230.596285	0.000256
3231.378299	-0.003498
3232.160313	0.002587
3232.942326	-0.006346
3233.724340	0.000370
3234.506354	0.001322
3235.288368	0.006895
3236.070381	0.017460
3236.852395	0.007581
3237.634409	0.002799
3238.416422	-0.008055
3239.198436	0.001029
3239.980450	-0.001141
3240.762463	0.004911
3241.544477	-0.016885
3242.326491	-0.009593
3243.108504	-0.016029
3243.890518	-0.005761
3244.672532	-0.004605
3245.454545	-0.002071
3246.236559	-0.004409
3247.018573	0.000320
3247.800587	0.000830
3248.582600	0.018200
3249.364614	0.006209
3250.146628	0.006925
3250.928641	-0.002763
3251.710655	-0.001691
3252.492669	-0.000642
3253.274682	0.003352
3254.056696	-0.012370
3254.838710	-0.005647
3255.620723	-0.012350
3256.402737	-0.008156
3257.184751	-0.008663
3257.966764	-0.005086
3258.748778	-0.005953
3259.530792	-0.005557
3260.312805	-0.007459
3261.094819	0.002185
3261.876833	0.003685
3262.658847	0.004001
3263.440860	0.004890
3264.222874	0.000897
3265.004888	-0.000374
3265.786901	0.005160
3266.568915	-0.004967
3267.350929	-0.009326
3268.132942	-0.016286
3268.914956	-0.016999
3269.696970	-0.014114
3270.478983	-0.003535
3271.260997	-0.003822
3272.043011	-0.009322
3272.825024	-0.004158
3273.607038	-0.005752
3274.389052	0.013093
3275.171065	0.007150
3275.953079	0.006173
3276.735093	0.002636
3277.517107	-0.001318
3278.299120	0.000391
3279.081134	-0.003898
3279.863148	-0.003478
3280.645161	-0.007274
3281.427175	-0.020148
3282.209189	-0.010095
3282.991202	-0.003869
3283.773216	-0.006819
3284.555230	-0.000350
3285.337243	-0.001782
3286.119257	-0.009438
3286.901271	0.001412
3287.683284	0.010704
3288.465298	0.012469
3289.247312	0.001837
3290.029326	0.000079
3290.811339	0.002976
3291.593353	0.000742
3292.375367	0.001346
3293.157380	-0.003158
3293.939394	-0.009605
3294.721408	-0.018339
3295.503421	-0.011628
3296.285435	-0.001855
3297.067449	-0.004345
3297.849462	0.004395
3298.631476	-0.004342
3299.413490	-0.010213
3300.195503	0.006140
3300.977517	0.014471
3301.759531	0.009783
3302.541544	0.004816
3303.323558	-0.002897
3304.105572	-0.004691
3304.887586	0.006364
3305.669599	0.000056
3306.451613	-0.008612
3307.233627	-0.011728
3308.015640	-0.009478
3308.797654	-0.006852
3309.579668	-0.009561
3310.361681	-0.004477
3311.143695	-0.014866
3311.925709	-0.010444
3312.707722	-0.002716
3313.489736	0.001650
3314.271750	0.010141
3315.053763	0.006129
3315.835777	-0.002870
3316.617791	0.009447
3317.399804	0.008396
3318.181818	0.010507
3318.963832	-0.001673
3319.745846	-0.004233
3320.527859	-0.021097
3321.309873	-0.012507
3322.091887	-0.009172
3322.873900	0.000126
3323.655914	-0.002623
3324.437928	-0.010635
3325.219941	-0.012845
3326.001955	-0.005249
3326.783969	0.009131
3327.565982	0.011390
3328.347996	0.000161
3329.130010	0.006149
3329.912023	0.001935
3330.694037	0.002964
3331.476051	0.008262
3332.258065	-0.004122
3333.040078	-0.011272
3333.822092	-0.012073
3334.604106	-0.013400
